ID,REGIÓN,PROVINCIA,DISTRITO,Codigo del Recurso,Nombre del Recurso,CATEGORIA,Tipo de Categoria,Sub tipo Categoria,URL,LATITUD,LONGITUD
1287,Lambayeque,Chiclayo,PICSI,"3,637",Reservorio Cartagena,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Centros Científicos y Técnicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3637,-79.77025145767209,-6.718330792990868
1288,Lambayeque,Chiclayo,PICSI,"3,642",Huaca Penachí,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3642,-79.78153482209018,-6.718383069026695
1289,Cusco,Canchis,SAN PABLO,"3,644",Templo De San Pablo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3644,-71.31462106745909,-14.201465360865555
1290,Cusco,Quispicanchi,URCOS,"3,646",Laguna De Urcos,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3646,-71.63045167922974,-13.688270805706921
1291,Cusco,Quispicanchi,OROPESA,"3,649",Templo De Oropesa,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3649,-71.76357991534422,-13.593908673727256
1292,Cusco,Quispicanchi,QUIQUIJANA,"3,650",Iglesia Parroquial De Quiquijana,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3650,-71.54157936573029,-13.822687663737367
1293,Cusco,Urubamba,CHINCHERO,"3,653",Museo De Sitio De Chinchero,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3653,-72.05223947486877,-13.395701698232797
1294,Cusco,Quispicanchi,URCOS,"3,656",Sitio Arqueológico De Batan Orcco,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3656,-71.64382811506653,-13.690344385179534
1295,Cusco,Cusco,SAN SEBASTIAN,"3,657",Sitio Arqueológico De Rumiwasi O Phaqchayoc,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3657,-71.94044722222224,-13.519380555555555
1296,Cusco,Urubamba,CHINCHERO,"3,661",Laguna De Huaypo.,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3661,-72.12981467724609,-13.401704923554545
1297,Cusco,Cusco,SAN JERÓNIMO,"3,662",Sitio Arqueológico De Sillkinchani,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3662,-71.86045999999999,-13.554658
1298,Cusco,Urubamba,HUAYLLABAMBA,"3,670",Zona Arqueológica De Machuqolqa,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3670,-72.06405493121332,-13.363815508032497
1299,Cusco,Paruro,COLCHA,"3,673",Templo Colonial San Francisco De Colcha,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3673,-71.80291499999998,-13.850466
1300,Cusco,La Convencion,SANTA ANA,"3,679",Escuela San Francisco Javier La Granja,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Fortalezas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3679,-72.69577800000002,-12.857222
1301,Cusco,La Convencion,SANTA ANA,"3,680",Mirador De Torrechayoc,1. SITIOS NATURALES,Zonas paisajísticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3680,-72.69929000000002,-12.853308
1302,Cusco,Urubamba,MACHUPICCHU,"3,684",Sitio Arqueológico De Patallacta O Llactapata,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3684,-72.42332864593504,-13.235230605735541
1303,Cusco,Urubamba,MACHUPICCHU,"3,687",Museo De Sitio Manuel Chavez Ballon.,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3687,-72.53921189814758,-13.160628376377144
1304,Cusco,Urubamba,URUBAMBA,"3,688",Templo De San Pedro Apóstol De Urubamba.,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3688,-72.11593687534332,-13.305449739099542
1305,Cusco,Urubamba,MACHUPICCHU,"3,695",Sitio Arqueológico De Torontoy,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3695,-72.45085899999998,-13.206485
1306,Cusco,Urubamba,MARAS,"3,698",Zona Arqueológica De Cheqoq,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3698,-72.15038736106874,-13.346056119431633
1307,Cusco,Urubamba,OLLANTAYTAMBO,"3,701",Sector Arqueológico De Choquebamba,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3701,-72.24244594573975,-13.23741812097172
1308,Cusco,Urubamba,OLLANTAYTAMBO,"3,702",Sector Arqueológico De Pumamarka,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3702,-72.22869875100707,-13.23109391985953
1309,Cusco,Urubamba,OLLANTAYTAMBO,"3,703",Grupo Arqueológico De Salapuncu,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3703,-72.40745136063896,-13.229131751243036
